id_ingredient,id_recipe,ingredient,quantity,unit
,4,poivron rouge,0.5,
,4,poivron vert,0.5,
,4,oignon,0.5,
,4,coriandre,,
,4,cumin,0.5,cuillère à soupe
,4,huile,,
,4,blancs de poulet,1.0,
,4,sucre en poudre,0.5,cuillère à soupe
,4,citron,,
,4,ail,,
,4,sauce soja,,
,4,cannelle,0.5,cuillère à café
,2,quatre-épices,0.3,pincées
,2,sel,1.5,g
,2,poivre,0.1,pincée
,2,foie,0.2,
,2,paprika,0.2,pincées
,2,Sauternes,0.05,verre
,3,carottes,0.25,
,3,oignons,0.25,
,3,romarin,0.125,brin
,3,huile d'olive,0.125,cuillère à soupe
,3,beurre,3.75,g
,3,farine,,
,3,gros sel,,
,3,épaule,0.1875,kg
,3,bourgogne,0.125,bouteille
,3,champignon,0.125,petite boîte
,3,sauge,0.75,feuilles
,3,bouquet garni,0.125,
,3,marc,0.125,cuillère à soupe
,1,carottes,0.5,
,1,oignon jaune,0.25,
,1,bouillon de légumes,0.25,cube
,1,crème fraîche,0.25,petit pot
,1,farine,0.5,cuillères à soupe
,1,beurre doux,2.5,g
,1,blanquette de veau,0.25,kg
,1,champignon,0.25,petite boîte
,1,bouillon de poule,0.25,cube
,1,vin blanc,6.25,cl
,1,jaunes d'oeuf,0.5,
,1,jus de citron,0.25,cuillère à café
,1,sel et poivre,,
,5,vin rouge,0.25,bouteille
,5,sucre,25.0,g
,5,maïzena,0.25,cuillère à café
,5,miel,,
,5,poivre,,
,5,sel,,
,5,clous de girofle,0.5,
,5,Magrets de Canard,0.5,
,5,poires,0.5,
,5,sirop de cassis,2.5,cl
,5,lait,2.5,cl
,5,cannelle,,
,6,oignons,0.2,
,6,huile,,
,6,chevreuil,0.1,
,6,concentré de tomates,0.1,boîte
,6,vin blanc sec,6.0,cl
,6,madère,,
,7,carottes,0.5,
,7,oignon jaune,0.25,
,7,crème fraîche,0.25,petit pot
,7,farine,,
,7,sel,,
,7,poivre,,
,7,bouillon de légumes,0.25,
,7,blanquette de veau,0.25,kg
,7,bouillon de poule,0.25,
,7,champignon,0.25,petite boîte
,7,citron,,
,7,jaune d'oeuf,0.25,
,7,vin blanc,6.25,cl
,8,oignons,0.25,
,8,tomates cerise,0.125,poignée
,8,feuille de laurier,,
,8,sel,0.125,petite poignée
,8,poivre,,
,8,poulet,0.125,
,8,ail,0.375,gousses
,8,jus de citron,0.125,cl
,8,bouillon de volaille,0.125,
,9,huile d'olive,1.0,cuillères à soupe
,9,poivre,0.5,
,9,sel,0.5,
,9,thym,0.5,
,9,rôti de boeuf,200.0,g
,9,ail,0.5,gousse
,9,eau,6.0,cl
,10,bouillon de légumes,0.25,
,10,crème fraîche,10.0,cl
,10,moutarde,,
,10,huile d'olive,,
,10,beurre,,
,10,filet mignon,0.25,
,10,vin blanc sec,6.25,cl
,10,champignon,125.0,g
,12,lardons,16.666666666666668,g
,12,beurre,8.333333333333334,g
,12,vin rouge,0.1111111166666666,l
,12,oignons,0.3333333333333333,
,12,farine,0.3333333333333333,cuillères à soupe
,12,sel,,
,12,poivre,,
,12,boeuf,133.33333333333334,g
,12,ail,0.1666666666666666,gousse
,12,bouquet garni,0.1666666666666666,
,12,champignons de Paris,41.66666666666666,g
,11,beurre,6.25,g
,11,poivre,,
,11,sel,,
,11,huile d'olive,0.25,filet
,11,rôti de porc,0.25,
,11,ail,0.25,gousse
,11,eau,1.25,cl
,13,oignon,0.25,
,13,thym,0.25,cuillère à café
,13,feuilles de laurier,0.5,
,13,clou de girofle,0.25,
,13,huile d'olive,0.25,cuillère à soupe
,13,cuisses de poulet,1.0,
,13,eau,12.5,cl
,13,ail,0.25,gousse
,13,bouillon de volaille,0.25,
,13,genièvre,0.75,
,14,huile de tournesol,,
,14,sel,,
,14,poivre,,
,14,rôti de veau,0.1666666666666666,
,14,ail,0.6666666666666666,gousses
,14,champignons de Paris,0.1666666666666666,boîte
,15,huile d'olive,0.5,cuillère à soupe
,15,fond de veau,1.0,cuillères à soupe
,15,moutarde de Dijon,0.5,cuillère à soupe
,15,vinaigre balsamique,0.5,cuillère à soupe
,15,paupiettes de veau,2.0,
,15,ail,0.5,gousse
,15,vin blanc,6.25,cl
,15,eau,6.25,cl
,16,oignons,0.5,
,16,carottes,0.75,
,16,beurre,7.5,g
,16,huile d'olive,0.5,cuillères à soupe
,16,crème fraîche épaisse,5.0,cl
,16,moutarde,0.5,cuillères à soupe
,16,farine,0.5,cuillères à soupe
,16,sauté de porc,0.25,kg
,16,vin blanc,6.25,cl
,16,eau,6.25,cl
,17,romarin,0.3333333333333333,branches
,17,gros sel,0.1666666666666666,cuillère à soupe
,17,gigot d'agneau,0.1666666666666666,
,17,ail,0.3333333333333333,gousses
,17,graisse d'oie,,
,17,ail,,
,18,côte de boeuf,0.1666666666666666,
,18,huile,,
,18,fleur de sel,,
,18,poivre,,
,18,thym,0.8333333333333334,brins
,19,beurre,12.5,g
,19,sel,,
,19,poivre,,
,19,poulet,0.25,
,19,herbes de Provence,,
,19,pommes de terre,5.0,
,20,huile,2.5,cl
,20,tomates concassées,0.25,boîte de 400 g
,20,carotte,50.0,g
,20,oignon,25.0,g
,20,farine,,
,20,poivre,,
,20,sel,,
,20,jarret de veau,1.0,tranches
,20,ail,0.75,gousses
,20,vin blanc sec,5.0,cl
,20,bouquet garni,0.25,
,21,gros sel,0.25,pincée
,21,Magrets de Canard,0.75,
,21,poivre en grains,,
,22,gingembre,0.25,cuillère à café
,22,curry,,
,22,oignons jaunes,0.5,
,22,escalopes de poulet,1.0,
