ingredient,"Energie, N x facteur Jones, avec fibres (kJ/100 g)","Protéines, N x 6.25 (g/100 g)",Lipides (g/100g),Glucides (g/100g),Sucres (g/100g),Fibres (g/100g),Sel chlorure de sodium (g/100 g),AG saturés (g/100g),Cholestérol (mg/100g),singulier,pluriel
abadèch,,,,,,,,,,abadèch,abadèchs
abat,,"25,1","6,24","1,36","0,026","0,12",,"2,13",322,abattre,abattres
abondance,1640,"26,6","31,6",traces,"< 0,2",0,,"20,1",106,abondance,abondances
abricot,194,"0,81","< 0,5","9,01","6,7","1,7",,"< 0,01",0,abricot,abricots
absinthe,1010,"2,88","0,5","59,1","34,3","8,3",,"0,19",0,absinthe,absinthes
achatine,,,,,,,,,,achatine,achatines
acide,,"2,31","9,3","37,1","24,9","0,7",,"5,98","39,6",acide,acides
acidifiant,,,,,,,,,,acidifiant,acidifiants
acoupa,,,,,,,,,,acoupa,acoupas
adjwain,,,,,,,,,,adjwain,adjwains
after,,,,,,,,,,after,afters
agar,,"4,36","0,3",,"2,97",,,"0,061",0,agar,agars
agneau,1130,"16,3","22,6","0,92","0,063",0,,"10,1",,agneau,agneaux
agosturer,,"0,068","0,066","8,28","7,38","0,05",,0,0,agosturer,agosturers
agrume,1270,"< 0,5","< 0,3","72,3","62,9","3,3",,0,0,agrume,agrumes
aiguillette,1630,"10,1","36,1","7,07","2,05","0,45",,"13,7",,aiguillette,aiguillettes
ail,1460,"16,7","0,77","62,8","2,43","9,45",,"0,2",0,ail,ails
aile,415,"23,2","0,57",traces,0,0,,"0,12",67,aile,ailes
aileron,785,"24,8","9,52","0,7",0,0,,,133,aileron,ailerons
aillet,,,,,,,,,,aillet,aillets
airelle,,,,,,,,,,airell,airells
alcool,2730,0,0,0,0,0,,0,0,alcool,alcools
alevin,,,,,,,,,,alevin,alevins
alfafa,,,,,,,,,,alfafa,alfafas
alginate,1480,0,"0,2","86,3",,"0,55",,"0,039",0,alginate,alginates
algue,1060,"31,5","1,63","10,5",,"36,3",,,,algue,algues
alkerme,,,,,,,,,,alkerm,alkerms
all,1510,"11,5","4,42","59,3","22,1","18,3",,"1,91",0,all,alls
allumette,500,"23,1","2,6","0,7","< 0,2",0,,"1,02","47,2",allumette,allumettes
alose,,,,,,,,,,alose,aloses
alouette,,,,,,,,,,alouette,alouettes
aloé,,,,,,,,,,aloé,aloés
amande,2420,"47,9",42,"3,11","0,3",0,,"13,1",1670,amand,amands
amarante,1540,"14,5","7,02","58,6","1,68","6,7",,"1,46",0,amarante,amarantes
amaretti,,,,,,,,,,amaretti,amarettis
amaretto,,,,,,,,,,amaretto,amarettos
amidon,1460,"0,63",0,85,,traces,,,,amidon,amidons
ananas,231,"< 0,5","< 0,5","11,7","10,5","1,2",,"< 0,01",0,ananas,ananass
anchois,541,"18,6","6,07",traces,0,0,,"1,64",124,anchois,anchoiss
anchoïade,,,,,,,,,,anchoïade,anchoïades
andouille,878,"18,4","15,1","0,3",,traces,,,,andouille,andouilles
andouillette,946,"18,8","16,3",1,"< 0,5","0,71",,"6,94",284,andouillette,andouillettes
aneth,202,"3,93","1,1","3,9","1,2","3,5",,"0,27",0,aneth,aneths
angosturer,,,,,,,,,,angosturer,angosturers
anguille,963,"16,1","18,6",traces,0,0,,"3,89",120,anguille,anguilles
angélique,,,,,,,,,,angélique,angéliques
anis,,,,,,,,,,anis,aniss
anisette,,,,,,,,,,anisette,anisettes
anti-pectine,,,,,,,,,,anti-pectine,anti-pectines
