id_ingredient,singulier,pluriel,ingredient,"Energie, N x facteur Jones, avec fibres (kJ/100 g)","Protéines, N x 6.25 (g/100 g)",Lipides (g/100g),Glucides (g/100g),Sucres (g/100g),Fibres (g/100g),Sel chlorure de sodium (g/100 g),AG saturés (g/100g),Cholestérol (mg/100g),norm_ing
00001,vin,vins,Vin,,"0,09",0,"3,29","1,37",0,,0,0,vin
00002,sucre,sucres,Sucre,,0,0,"99,8","99,8",0,,0,0,sucre
00003,maïzena,maïzenas,Maïzena,,,,,,,,,,maizena
00004,miel,miel,,,,,,,,,,,
00005,poivre,poivre,Poivre,1380,"13,3","7,5","39,5","0,64","25,7",,"2,9",0,poivre
00006,sel,sel,Sel,0,0,0,0,0,0,,,,sel
00007,clou,clous,,,,,,,,,,,
00008,magret,magrets,,,,,,,,,,,
00009,poire,poires,Poire,,"0,49","0,27","10,9","9,01","2,9",,"0,067",0,poire
00010,sirop,sirop,Sirop,,"0,04","0,06","67,1","62,6",0,,"0,007",0,sirop
00011,lait,lait,Lait,200,"3,32","1,59","4,82","4,62",0,,"1,06","5,95",lait
00012,cannelle,cannelle,Cannelle,,"5,2","3,7","59,4","37,6","2,6",,"2,11","14,8",cannelle
00013,carotte,carottes,Carotte,"78,8","0,55","0,1","2,6","1,3","2,8",,"0,019",0,carotte
00014,oignon,oignons,Oignon,169,"1,56","< 0,3","6,73",5,"2,8",,"< 0,01",,oignon
00015,romarin,romarin,Romarin,1350,"4,88","15,2","21,5",,"42,6",,"7,37",0,romarin
00016,huile,huile,Huile,3700,"0,21","99,9",0,0,0,,"13,5",0,huile
00017,beurre,beurres,Beurre,180,"1,44","0,4","7,13","6,7","2,5",,"0,15",0,beurre
00018,farine,farines,Farine,1490,"9,94","0,82","75,9","0,41","2,5",,"0,13",0,farine
00019,gros,gros,,,,,,,,,,,
00020,épaule,épaules,épaule,698,"27,6","6,17",traces,,0,,"2,07",,epaule
00021,bourgogne,bourgognes,Bourgogne,,,,,,,,,,bourgogne
00022,champignon,champignons,Champignon,"91,2","2,37","0,23","1,88","1,43","1,72",,"0,055",0,champignon
00023,sauge,sauge,Sauge,152,4,"< 0,5","0,97","0,3",7,,"< 0,01",0,sauge
00024,bouquet,bouquets,,,,,,,,,,,
00025,marc,marc,Marc,,,,,,,,,,marc
00026,quatre-épices,quatre-épices,Quatre-épices,1460,"6,09","8,69","50,5",,"21,6",,"2,55",0,quatre-epices
00027,foie,foies,Foie,695,"26,3","5,71","2,2",0,0,,"1,69",204,foie
00028,papriker,paprikers,,,,,,,,,,,
00029,Sauternes,Sauternes,Sauternes,,,,,,,,,,sauternes
00030,poivron,poivrons,Poivron,150,1,"0,6","5,33","4,9","2,2",,"0,19",,poivron
00031,coriandre,coriandre,Coriandre,"92,6","2,13","0,52","0,87","0,87","2,8",,"0,014",0,coriandre
00032,cumin,cumin,Cumin,1780,"17,8","22,3","33,7","2,25","10,5",,"1,54",0,cumin
00033,blanc de poulet,blancs de poulet,,,,,,,,,,,
00034,sucre,sucres,Sucre,,0,0,"99,8","99,8",0,,0,0,sucre
00035,citron,citrons,Citron,170,"1,13","< 0,3","3,14","2,1","4,3",,"< 0,01",0,citron
00036,ail,ails,Ail,1460,"16,7","0,77","62,8","2,43","9,45",,"0,2",0,ail
00037,sauce,sauces,,,,,,,,,,,
00038,bouillon,bouillons,Bouillon,832,"10,8","3,1","30,9","2,2",0,,"1,08","12,8",bouillon
00039,crème,crèmes,Crème,319,"3,19","4,3","5,28","4,44",< 3,,"2,88",30,creme
00040,beurre,beurres,Beurre,180,"1,44","0,4","7,13","6,7","2,5",,"0,15",0,beurre
00041,blanquette,blanquettes,,,,,,,,,,,
00042,jaune,jaunes,,,,,,,,,,,
00043,jus,jus,,,,,,,,,,,
00044,tomate,tomates,Tomate,"84,3","0,5","< 0,5","3,03","2,6","1,5",,"< 0,01",,tomate
00045,feuille,feuilles,,,,,,,,,,,
00046,poulet,poulets,Poulet,785,"24,8","9,52","0,7",0,0,,,133,poulet
00047,chevreuil,chevreuils,Chevreuil,632,"30,2","3,19",0,,0,,"1,25",112,chevreuil
00048,concentrer,concentrer,,,,,,,,,,,
00049,madère,madères,Madère,,"0,6","2,2","3,6","1,9","0,5",,"1,1",,madere
00050,thym,thym,Thym,446,"5,56","1,68","10,5",,14,,"0,47",0,thym
00051,rôti,rôtis,,,,,,,,,,,
00052,eau,eaux,Eau,0,0,0,0,0,0,,0,0,eau
00053,moutarde,moutardes,Moutarde,632,"6,92","11,2","4,33","1,66",< 1,,"0,76",0,moutarde
00054,filet,filets,,,,,,,,,,,
00055,lardon,lardons,Lardons,1340,"23,8","24,5",2,,0,,"12,6","80,6",lardons
00056,boeuf,boeufs,Boeuf,355,"8,93","3,3","4,17","1,57","1,25",,"0,88",64,boeuf
00057,fond,fonds,Fond,,"2,08","0,43","8,09","1,89","7,54",,"0,1",,fond
00058,vinaigre,vinaigres,,,,,,,,,,,
00059,paupiette,paupiettes,Paupiette,801,"14,5","13,8","2,6","0,41","0,2",,"5,45","63,3",paupiette
00060,cuisse,cuisses,,,,,,,,,,,
00061,genièvre,genièvre,Genièvre,,,,,,,,,,genievre
00062,sauté,sautés,,,,,,,,,,,
00063,gigot,gigots,,,,,,,,,,,
00064,graisse,graisses,,,,,,,,,,,
00065,côte,côtes,,,,,,,,,,,
00066,fleur,fleurs,Fleurs,"87,3","1,6","0,46","1,6","1,59",2,,"0,097",0,fleurs
00067,jarret,jarrets,,,,,,,,,,,
00068,herbe,herbes,Herbes,206,"3,58","0,8","4,15","1,99","5,64",,"0,2",0,herbes
