ingredient,singulier,pluriel
abadèche,abadèche,abadèches
abat,abattre,abattres
abondance,abondance,abondances
abricot,abricot,abricots
absinthe,absinthe,absinthes
achatine,achatine,achatines
acide,acide,acides
acidifiant,acidifiant,acidifiants
acoupa,acoupa,acoupas
adjwain,adjwain,adjwains
after,after,afters
agar,agar,agars
agneau,agneau,agneaux
agosturer,agosturer,agosturers
agrume,agrume,agrumes
aiguillette,aiguillette,aiguillettes
ail,ail,ails
aile,aile,ailes
aileron,aileron,ailerons
aillet,aillet,aillets
airelle,airelle,airelles
alcool,alcool,alcools
alevin,alevin,alevins
alfafa,alfafa,alfafas
alginate,alginate,alginates
algue,algue,algues
alkerme,alkerm,alkerms
all,all,alls
allumette,allumette,allumettes
alose,alose,aloses
alouette,alouette,alouettes
aloés,aloés,aloés
amande,amande,amandes
amarante,amarante,amarantes
amaretti,amaretti,amarettis
amaretto,amaretto,amarettos
amidon,amidon,amidons
ananas,ananas,ananas
anchois,anchois,anchois
anchoïade,anchoïade,anchoïades
andouille,andouille,andouilles
andouillette,andouillette,andouillettes
aneth,aneth,aneth
angosturer,angosturer,angosturers
anguille,anguille,anguilles
angélique,angélique,angéliques
anis,anis,anis
anisette,anisette,anisettes
anti-pectine,anti-pectine,anti-pectines
aop,aop,aops
aperol,aperol,aperols
appenzeller,appenzeller,appenzellers
apremont,apremont,apremont
apéricube,apéricube,apéricubes
apérifruit,apérifruit,apérifruits
aquafaber,aquafaber,aquafabers
arachide,arachide,arachides
araignée,araignée,araignées
arbouse,arbouse,arbouses
armagnac,armagnac,armagnac
armoise,armoise,armoises
aromate,aromate,aromates
arquebuse,arquebuse,arquebuses
arrow,arrow,arrows
artichaut,artichaut,artichauts
arête,arête,arêtes
arôme,arôme,arômes
asafoetida,asafoetida,asafoetidas
ashwagandha,ashwagandha,ashwagandhas
aspartame,aspartame,aspartames
asperge,asperge,asperges
asperge verte,asperge verte,asperges vertes
aspérule,aspérule,aspérules
assaisonnement,assaisonnement,assaisonnements
asti,asti,astis
atriau,atriau,atriaus
attiéker,attiéker,attiékers
aubergine,aubergine,aubergines
autre,autre,autres
autruche,autruche,autruches
avocat,avocat,avocats
avoine,avoine,avoines
aïoli,aïoli,aïolis
