id;id_recette;ingredient;quantity;unit;ingredient_clean;ciqual_id;alim_nom_fr
;4;poivron rouge;0.5;;poivron rouge;210;Poivron rouge, appertisé, égoutté
;4;poivron vert;0.5;;poivron vert;173;Poivron vert, cuit
;4;oignon;0.5;;oignon;18;Oignon, cru
;4;coriandre;;;coriandre;2949;Coriandre, graine
;4;cumin;0.5;cuillère à soupe;cumin;1956;Gouda au cumin
;4;huile;;;huile;275;Tomate, séchée, à l'huile
;4;blancs de poulet;1.0;;blancs de poulet;3;Graine germée de luzerne, crue
;4;sucre en poudre;0.5;cuillère à soupe;sucre en poudre;39;Epinard, haché ou purée ou en branches, surgelé, cru
;4;citron;;;citron;415;Citron, chair sans peau, sans pépins, cru
;4;ail;;;ail;406;Lentille corail, sèche
;4;sauce soja;;;sauce soja;2810;Sauce soja, préemballée
;4;cannelle;0.5;cuillère à café;cannelle;1798;Riz au lait vanille, cannelle ou nature, rayon frais
;2;quatre-épices;0.3;pincées;quatre-épices;2956;Quatre épices, poudre
;2;sel;1.5;g;sel;457;Raisin Chasselas, cru
;2;poivre;0.1;pincée;poivre;1237;Pâté au poivre vert
;2;foie;0.2;;foie;983;Foie, agneau, cuit
;2;paprika;0.2;pincées;paprika;2953;Paprika, poudre
;2;Sauternes;0.05;verre;sauternes;520;Compote, autres fruits, préemballée
;3;carottes;0.25;;carottes;92;Petits pois et carottes, surgelés, crus
;3;oignons;0.25;;oignons;2843;Sauce tomate aux oignons, préemballée
;3;romarin;0.125;brin;romarin;2974;Romarin, frais
;3;huile d'olive;0.125;cuillère à soupe;huile d'olive;1598;Sardine, à l'huile d'olive, appertisée, égouttée
;3;beurre;3.75;g;beurre;81;Haricot beurre, cru
;3;farine;;;farine;727;Pain bis (à la farine T80 ou T110) 
;3;gros sel;;;gros sel;327;Purée de pomme de terre, avec lait et beurre, sans sel ajouté
;3;épaule;0.1875;kg;épaule;907;Veau, épaule grillée/poêlée
;3;bourgogne;0.125;bouteille;bourgogne;891;Boeuf, à bourguignon ou pot-au-feu, cuit
;3;champignon;0.125;petite boîte;champignon;7;Champignon, tout type, cru
;3;sauge;0.75;feuilles;sauge;2975;Sauge, fraîche
;3;bouquet garni;0.125;;bouquet garni;1516;Crevette bouquet, sauvage, cuite
;3;marc;0.125;cuillère à soupe;marc;1873;Saint-Marcellin
;1;carottes;0.5;;carottes;92;Petits pois et carottes, surgelés, crus
;1;oignon jaune;0.25;;oignon jaune;21;Poivron, vert, jaune ou rouge, cru
;1;bouillon de légumes;0.25;cube;bouillon de légumes;2908;Bouillon de légumes, déshydraté
;1;crème fraîche;0.25;petit pot;crème fraîche;361;Patate douce, purée, cuisinée à la crème
;1;farine;0.5;cuillères à soupe;farine;727;Pain bis (à la farine T80 ou T110) 
;1;beurre doux;2.5;g;beurre doux;651;Beurre de cacahuète ou pâte d'arachide
;1;blanquette de veau;0.25;kg;blanquette de veau;3;Graine germée de luzerne, crue
;1;champignon;0.25;petite boîte;champignon;7;Champignon, tout type, cru
;1;bouillon de poule;0.25;cube;bouillon de poule;3;Graine germée de luzerne, crue
;1;vin blanc;6.25;cl;vin blanc;2297;Vin blanc sec
;1;jaunes d'oeuf;0.5;;jaunes d'oeuf;1636;Oeuf, jaune (jaune d'oeuf), cuit
;1;jus de citron;0.25;cuillère à café;jus de citron;567;Jus de citron punch (variété petit calibre), pur jus, prélevé à la Martinique
;1;sel et poivre;;;sel et poivre;11;Concombre, chair et peau, cru
;5;vin rouge;0.25;bouteille;vin rouge;2296;Vin rouge
;5;sucre;25.0;g;sucre;2260;Thé infusé, sans sucres ajoutés
;5;maïzena;0.25;cuillère à café;maïzena;820;Chips de maïs ou tortilla chips, nature
;5;miel;;;miel;2343;Miel
;5;poivre;;;poivre;1237;Pâté au poivre vert
;5;sel;;;sel;457;Raisin Chasselas, cru
;5;clous de girofle;0.5;;clous de girofle;2954;Clou de girofle
;5;Magrets de Canard;0.5;;magrets de canard;3;Graine germée de luzerne, crue
;5;poires;0.5;;poires;2696;Tarte aux poires amandine
;5;sirop de cassis;2.5;cl;sirop de cassis;3;Graine germée de luzerne, crue
;5;lait;2.5;cl;lait;17;Laitue, crue
;5;cannelle;;;cannelle;1798;Riz au lait vanille, cannelle ou nature, rayon frais
;6;oignons;0.2;;oignons;2843;Sauce tomate aux oignons, préemballée
;6;huile;;;huile;275;Tomate, séchée, à l'huile
;6;chevreuil;0.1;;chevreuil;951;Chevreuil, viande rôtie/cuite au four
;6;concentré de tomates;0.1;boîte;concentré de tomates;3;Graine germée de luzerne, crue
