id,name,pluriel,img,animal,g_weight
1,"Boeuf, entrecôte, partie maigre grillée/poêlée",,Boeuf,Boeuf,150
2,"Boeuf, gîte à la noix cuit",,Boeuf,Boeuf,120
3,"Boeuf, faux-filet rôti/cuit au four",,Boeuf,Boeuf,150
4,"Boeuf, faux-filet grillé/poêlé",,Boeuf,Boeuf,150
5,"Boeuf, plat de côtes braisé ou bouilli/cuit à l'eau",,Boeuf,Boeuf,130
6,"Boeuf, hampe grillée/poêlée",,Boeuf,Boeuf,140
7,"Boeuf, joue, braisée ou bouillie/cuite à l'eau",,Boeuf,Boeuf,120
8,"Boeuf, jarret bouilli/cuit à l'eau",,Boeuf,Boeuf,120
9,"Boeuf, tende de tranche grillée/poêlée",,Boeuf,Boeuf,150
10,"Boeuf, tende de tranche rôtie/cuite au four",,Boeuf,Boeuf,150
11,"Boeuf, steak ou bifteck grillé/poêlé",,Boeuf,Boeuf,125
12,"Boeuf, onglet grillé/poêlé",,Boeuf,Boeuf,140
13,"Boeuf, rumsteck grillé/poêlé",,Boeuf,Boeuf,150
14,"Boeuf, boule de macreuse grillée/poêlée",,Boeuf,Boeuf,140
15,"Boeuf, rosbif rôti/cuit au four",,Boeuf,Boeuf,150
16,"Boeuf, bavette d'aloyau grillée/poêlée",,Boeuf,Boeuf,140
17,"Boeuf, boule de macreuse rôtie/cuite au four",,Boeuf,Boeuf,140
18,"Boeuf, collier braisé",,Boeuf,Boeuf,120
19,"Boeuf, steak haché 5% MG cuit",,Boeuf,Boeuf,100
20,"Boeuf, steak haché 10% MG cuit",,Boeuf,Boeuf,100
21,"Boeuf, steak haché 15% MG cuit",,Boeuf,Boeuf,100
22,"Boeuf, steak haché 20% MG cuit",,Boeuf,Boeuf,100
23,"Boeuf, steak haché, cuit (aliment moyen)",,Boeuf,Boeuf,100
24,"Boeuf, paleron, braisé ou bouilli/cuit à l'eau",,Boeuf,Boeuf,120
25,"Boeuf, queue bouillie/cuite à l'eau",,Boeuf,Boeuf,90
26,"Veau, côte grillée/poêlée",,Veau,Veau,150
27,"Veau, carré grillé/poêlé",,Veau,Veau,160
28,"Veau, escalope cuite",,Veau,Veau,130
29,"Veau, noix grillée/poêlée",,Veau,Veau,140
30,"Veau, noix rôtie/cuite au four",,Veau,Veau,140
31,"Veau, filet rôti/cuit au four",,Veau,Veau,150
32,"Veau, rôti cuit",,Veau,Veau,150
33,"Veau, épaule grillée/poêlée",,Veau,Veau,140
34,"Veau, épaule braisée ou bouillie",,Veau,Veau,120
35,"Veau, jarret braisé ou bouilli",,Veau,Veau,110
36,"Veau, tête, bouillie/cuite à l'eau",,Veau,Veau,100
37,"Veau, collier braisé ou bouilli",,Veau,Veau,120
38,"Porc, épaule cuite",,Porc,Porc,130
39,"Porc, côte grillée/poêlée",,Porc,Porc,150
40,"Porc, rouelle de jambon cuite",,Porc,Porc,140
41,"Porc, carré cuit",,Porc,Porc,150
42,"Porc, filet maigre, en rôti, cuit",,Porc,Porc,150
43,"Porc, filet mignon cuit",,Porc,Porc,140
44,"Porc, rôti cuit",,Porc,Porc,150
45,"Porc, travers braisé",,Porc,Porc,120
46,"Porc, échine rôtie/cuite au four",,Porc,Porc,140
47,"Porc, escalope de jambon cuite",,Porc,Porc,130
48,"Poulet, cuisse, viande et peau rôtie/cuite au four",,Poulet,Poulet,160
49,"Poulet, viande et peau rôties/cuites au four",,Poulet,Poulet,1500
50,"Poulet, cuisse, viande rôtie/cuite au four",,Poulet,Poulet,140
51,"Poulet, filet sans peau grillé/poêlé",,Poulet,Poulet,120
52,"Poulet, cuisse, viande bouillie/cuite à l'eau",,Poulet,Poulet,130
53,"Poulet, cuisse, viande et peau bouillie/cuite à l'eau",,Poulet,Poulet,150
54,"Poulet, poitrine, viande et peau rôties/cuites au four",,Poulet,Poulet,150
55,"Poulet, aile, viande et peau rôties/cuites au four",,Poulet,Poulet,90
56,"Poulet, filet sans peau grillé/poêlé, bio",,Poulet,Poulet,120
57,"Dinde, escalope grillée/poêlée",,Dinde,Dinde,130
58,"Dinde, escalope rôtie/cuite au four",,Dinde,Dinde,140
59,"Mouton, gigot rôti/cuit au four",,Mouton,Mouton,2000
60,"Agneau, côtelette grillée/poêlée",,Agneau,Agneau,80
61,"Agneau, gigot rôti/cuit au four",,Agneau,Agneau,250
62,"Agneau, épaule rôtie/cuite au four",,Agneau,Agneau,250
63,"Agneau, épaule maigre rôtie/cuite au four",,Agneau,Agneau,150
64,"Agneau, collier braisé ou bouilli",,Agneau,Agneau,800
65,"Agneau, côte filet grillée/poêlée",,Agneau,Agneau,80
66,"Agneau, côte première grillée/poêlée",,Agneau,Agneau,80
67,"Agneau, selle, partie maigre rôtie/cuite au four",,Agneau,Agneau,250
68,"Agneau, gigot grillé/poêlé",,Agneau,Agneau,300
69,"Agneau, gigot braisé",,Agneau,Agneau,300
70,"Agneau, selle, partie maigre grillée/poêlée",,Agneau,Agneau,250
71,"Agneau, côte ou côtelette, cuite (aliment moyen)",,Agneau,Agneau,100
72,"Agneau, côte ou côtelette, grillée/poêlée (aliment moyen)",,Agneau,Agneau,80
73,"Cheval, tende de tranche grillée/poêlée",,Cheval,Cheval,180
74,"Cheval, faux-filet grillé/poêlé",,Cheval,Cheval,180
75,"Cheval, entrecôte grillée/poêlée",,Cheval,Cheval,180
76,"Cheval, faux-filet rôti/cuit au four",,Cheval,Cheval,200
77,"Cheval, tende de tranche rôtie/cuite au four",,Cheval,Cheval,200
78,"Lapin, viande braisée",,Lapin,Lapin,200
79,"Lapin, viande cuite",,Lapin,Lapin,200
80,"Lapin de garenne, viande cuite",,Lapin,Lapin,200
81,"Chapon, viande et peau rôties/cuites au four",,Chapon,Chapon,350
82,"Caille, viande et peau cuites",,Caille,Caille,60
83,"Canard, viande et peau rôties/cuites au four",,Canard,Canard,500
84,"Canard, viande rôtie/cuite au four",,Canard,Canard,500
85,"Canard, magret grillé/poêlé",,Canard,Canard,150
86,"Oie, viande rôtie/cuite au four",,Oie,Oie,700
87,"Oie, viande et peau rôties/cuites au four",,Oie,Oie,700
88,"Pigeon, viande rôtie/cuite au four",,Pigeon,Pigeon,400
89,"Cervelle, agneau, cuite",,Agneau,Agneau,100
90,"Cervelle, porc, braisée",,Porc,Porc,100
91,"Cervelle, veau, cuite",,Veau,Veau,130
92,"Coeur, boeuf, cuit",,Boeuf,Boeuf,350
93,"Coeur, poulet, cuit",,Poulet,Poulet,100
94,"Coeur, dinde, cuit",,Dinde,Dinde,170
95,"Coeur, agneau, cuit",,Agneau,Agneau,160
96,"Foie, agneau, cuit",,Agneau,Agneau,100
97,"Foie, génisse, cuit",,Génisse,Génisse,220
98,"Foie, veau, cuit",,Veau,Veau,220
99,"Foie, volaille, cuit",,Volaille,Volaille,80
100,"Foie, porc, cuit",,Porc,Porc,220
101,"Foie, poulet, cuit",,Poulet,Poulet,80
102,"Foie, dinde, cuit",,Dinde,Dinde,170
103,"Langue, veau, cuite",,Veau,Veau,250
104,"Langue, boeuf, cuite",,Boeuf,Boeuf,320
105,"Ris, agneau, cuit",,Agneau,Agneau,170
106,"Ris, veau, braisé ou grillé/poêlé",,Veau,Veau,320
107,"Rognon, boeuf, cuit",,Boeuf,Boeuf,170
108,"Rognon, porc, cuit",,Porc,Porc,120
109,"Rognon, agneau, braisé",,Agneau,Agneau,100
110,"Rognon, veau, braisé ou grillé/poêlé",,Veau,Veau,170
111,"Gésier, canard, confit, appertisé",,Boeuf,Boeuf,60
112,"Boeuf, côte crue",,Boeuf,Boeuf,220
113,"Boeuf, épaule crue",,Boeuf,Boeuf,250
114,"Boeuf, basse-côte crue",,Boeuf,Boeuf,220
115,"Boeuf, gîte à la noix cru",,Boeuf,Boeuf,220
116,"Boeuf, entrecôte crue",,Boeuf,Boeuf,200
117,"Boeuf, rond de gîte cru",,Boeuf,Boeuf,220
118,"Boeuf, faux-filet cru",,Boeuf,Boeuf,200
119,"Boeuf, filet cru",,Boeuf,Boeuf,200
120,"Boeuf, plat de côtes cru",,Boeuf,Boeuf,250
121,"Boeuf, hampe crue",,Boeuf,Boeuf,170
122,"Boeuf, joue crue",,Boeuf,Boeuf,220
123,"Boeuf, jarret cru",,Boeuf,Boeuf,250
124,"Boeuf, tende de tranche crue",,Boeuf,Boeuf,200
125,"Boeuf, steak ou bifteck cru",,Boeuf,Boeuf,170
126,"Boeuf, boule de macreuse crue",,Boeuf,Boeuf,220
127,"Boeuf, onglet cru",,Boeuf,Boeuf,160
128,"Boeuf, rumsteck cru",,Boeuf,Boeuf,200
