id_recette;titre;lien;category;kcal;kj;prot;lipide;glucide;sugar;fiber;salt;ag;cholesterol;proportion;temps_prepa;difficulty;prix;eco_score;created_by
4;Poulet aux quatre C (citron, cumin, cannelle, coriandre);/recettes/recette_poulet-aux-quatre-c-citron-cumin-cannelle-coriandre_51826.aspx;viande;;;;;;;;;;;2;60;facile;bon marché;ecoscore c;1
2;Terrine de foie gras au Sauternes;/recettes/recette_terrine-de-foie-gras-au-sauternes_33977.aspx;viande;;;;;;;;;;;10;60;facile;assez cher;ecoscore b;1
3;Civet de Sanglier à la bourguignonne;/recettes/recette_civet-de-sanglier-a-la-bourguignonne_34042.aspx;viande;;;;;;;;;;;8;120;facile;moyen;ecoscore d;1
1;Blanquette de veau facile au Cookeo;/recettes/recette_blanquette-de-veau-facile-au-cookeo_383136.aspx;viande;;;;;;;;;;;4;60;très facile;moyen;ecoscore d;1
5;Magrets de canard aux poires, sauce au cassis;/recettes/recette_magrets-de-canard-aux-poires-sauce-au-cassis_33506.aspx;viande;;;;;;;;;;;4;120;très facile;moyen;ecoscore c;1
6;Cuissot de chevreuil à la tomate;/recettes/recette_cuissot-de-chevreuil-a-la-tomate_55373.aspx;viande;;;;;;;;;;;10;120;facile;moyen;ecoscore e;1
7;Blanquette de veau : recette traditionnelle;/recettes/recette_blanquette-de-veau-facile_19219.aspx;viande;;;;;;;;;;;4;120;très facile;moyen;ecoscore e;1
8;Poulet au four simple et savoureux;/recettes/recette_poulet-au-four-version-light_218020.aspx;viande;;;;;;;;;;;8;60;facile;moyen;ecoscore d;1
9;Rôti de boeuf au four tout simple;/recettes/recette_roti-de-boeuf-au-four-tout-simple_342546.aspx;viande;;;;;;;;;;;2;30;facile;bon marché;ecoscore e;1
10;Filet mignon de porc à la moutarde;/recettes/recette_filet-mignon-de-porc-a-la-moutarde_36310.aspx;viande;;;;;;;;;;;4;60;très facile;moyen;ecoscore d;1
12;Boeuf Bourguignon rapide;/recettes/recette_boeuf-bourguignon-rapide_19218.aspx;viande;;;;;;;;;;;6;60;très facile;moyen;ecoscore d;1
11;Rôti de porc tout simple;/recettes/recette_roti-de-porc-tout-simple_170153.aspx;viande;;;;;;;;;;;4;50;très facile;bon marché;ecoscore d;1
13;Cuisses de poulet au four;/recettes/recette_cuisses-de-poulet-au-four_67408.aspx;viande;;;;;;;;;;;4;45;très facile;bon marché;ecoscore d;1
14;Rôti de veau au four;/recettes/recette_roti-de-veau-au-four_61313.aspx;viande;;;;;;;;;;;6;60;très facile;moyen;ecoscore e;1
15;Paupiettes de veau;/recettes/recette_paupiettes-de-veau_82641.aspx;viande;;;;;;;;;;;2;45;très facile;bon marché;ecoscore e;1
16;Sauté de porc à la crème de moutarde;/recettes/recette_saute-de-porc-a-la-creme-de-moutarde_173829.aspx;viande;;;;;;;;;;;4;40;facile;bon marché;ecoscore d;1
17;Gigot d'agneau : la recette traditionnelle;/recettes/recette_gigot-d-agneau-a-l-ail-et-au-romarin_18696.aspx;viande;;;;;;;;;;;6;55;très facile;moyen;ecoscore e;1
18;La côte de bœuf au four facile et cuite à la perfection;/recettes/recette_la-cote-de-boeuf-au-four-facile-et-cuite-a-la-perfection_372549.aspx;viande;;;;;;;;;;;6;120;facile;assez cher;ecoscore e;1
19;Poulet rôti et ses pommes de terre;/recettes/recette_poulet-roti-et-ses-pommes-de-terre_43958.aspx;viande;;;;;;;;;;;4;60;très facile;bon marché;ecoscore a;1
20;Osso bucco de veau;/recettes/recette_osso-bucco-de-veau_16090.aspx;viande;;;;;;;;;;;4;60;facile;moyen;ecoscore d;1
21;Magret de canard au four;/recettes/recette_magret-de-canard-au-four_80687.aspx;viande;;;;;;;;;;;4;35;très facile;moyen;ecoscore d;1
22;Poulet au coco et curry;/recettes/recette_poulet-au-coco-et-curry_17803.aspx;viande;;;;;;;;;;;4;60;très facile;bon marché;ecoscore c;1
23;Filet mignon de porc rôti à la moutarde à l'ancienne;/recettes/recette_filet-mignon-de-porc-roti-a-la-moutarde-a-l-ancienne_165059.aspx;viande;;;;;;;;;;;6;60;facile;moyen;ecoscore c;1
25;Langue de boeuf sauce piquante aux cornichons;/recettes/recette_langue-de-boeuf-sauce-piquante-cornichons_170277.aspx;viande;;;;;;;;;;;6;120;facile;moyen;ecoscore e;1
24;Filet de poulet au curry;/recettes/recette_filet-de-poulet-au-curry_80990.aspx;viande;;;;;;;;;;;4;25;facile;bon marché;ecoscore d;1
26;Poulet basquaise;/recettes/recette_poulet-basquaise_16969.aspx;viande;;;;;;;;;;;6;60;facile;moyen;ecoscore b;1
27;Epaule d'agneau confite facile;/recettes/recette_epaule-d-agneau-confite-facile_67739.aspx;viande;;;;;;;;;;;4;120;facile;moyen;ecoscore e;1
28;Rouelle de porc à l'ancienne;/recettes/recette_rouelle-de-porc-a-l-ancienne_19807.aspx;viande;;;;;;;;;;;4;60;très facile;bon marché;ecoscore c;1
30;Joue de boeuf à la bourguignonne;/recettes/recette_joue-de-boeuf-a-la-bourguignonne_304962.aspx;viande;;;;;;;;;;;4;120;facile;bon marché;ecoscore d;1
29;Potée au choux et saucisse de Morteau;/recettes/recette_potee-au-choux-et-saucisse-de-morteaux_105755.aspx;viande;;;;;;;;;;;8;60;facile;moyen;ecoscore c;1
31;Joue de porc à la bière;/recettes/recette_joue-de-porc-a-la-biere_36896.aspx;viande;;;;;;;;;;;4;120;très facile;bon marché;ecoscore d;1
32;Souris d'agneau confite et fondante;/recettes/recette_souris-d-agneau-au-miel-et-thym_93493.aspx;viande;;;;;;;;;;;4;120;très facile;bon marché;ecoscore e;1
34;Roti de Porc fondant;/recettes/recette_roti-de-porc-fondant_51874.aspx;viande;;;;;;;;;;;6;60;très facile;bon marché;ecoscore d;1
33;Lentilles corail au curry;/recettes/recette_lentilles-corail-au-curry_40286.aspx;viande;;;;;;;;;;;4;25;très facile;bon marché;ecoscore b;1
35;Boudin noir poêlé aux pommes;/recettes/recette_boudin-noir-poele-aux-pommes_27785.aspx;viande;;;;;;;;;;;2;60;facile;bon marché;ecoscore c;1
37;Steak tartare;/recettes/recette_steak-tartare_18121.aspx;viande;;;;;;;;;;;2;20;facile;moyen;ecoscore e;1
36;Colombo de poulet;/recettes/recette_colombo-de-poulet_36849.aspx;viande;;;;;;;;;;;4;60;moyenne;moyen;ecoscore c;1
38;Rôti de porc : recette savoureuse;/recettes/recette_roti-de-porc-a-la-moutarde-et-au-miel_17178.aspx;viande;;;;;;;;;;;6;60;très facile;bon marché;ecoscore d;1
39;Petit salé aux lentilles;/recettes/recette_petit-sale-aux-lentilles_19044.aspx;viande;;;;;;;;;;;6;120;très facile;moyen;ecoscore d;1
40;Rosbeef au four à l'ail;/recettes/recette_rosbeef-au-four-a-l-ail_232964.aspx;viande;;;;;;;;;;;6;40;facile;moyen;ecoscore e;1
41;Poulet curry et oignons facile;/recettes/recette_poulet-curry-et-oignons-facile_13026.aspx;viande;;;;;;;;;;;4;20;très facile;bon marché;ecoscore d;1
42;Saucisses au chou vert;/recettes/recette_saucisses-au-chou-vert_51464.aspx;viande;;;;;;;;;;;4;120;facile;bon marché;ecoscore d;1
44;Porc caramel;/recettes/recette_porc-caramel_72335.aspx;viande;;;;;;;;;;;4;50;facile;bon marché;ecoscore d;1
45;Falafel (croquettes de pois chiches);/recettes/recette_falafel-croquettes-de-pois-chiches_23038.aspx;viande;;;;;;;;;;;4;60;moyenne;bon marché;ecoscore b;1
46;Ris de Veau aux champignons;/recettes/recette_ris-de-veau-aux-champignons_32436.aspx;viande;;;;;;;;;;;6;45;moyenne;assez cher;ecoscore e;1
47;Rôti de veau en cocotte aux champignons;/recettes/recette_roti-de-veau-en-cocotte-aux-champignons_33366.aspx;viande;;;;;;;;;;;6;50;très facile;moyen;ecoscore e;1
48;Boeuf carottes facile;/recettes/recette_boeuf-carottes-facile_55864.aspx;viande;;;;;;;;;;;6;120;très facile;bon marché;ecoscore d;1
49;Saucisse de Morteau au Four;/recettes/recette_saucisse-de-morteau-au-four_164997.aspx;viande;;;;;;;;;;;4;55;très facile;bon marché;ecoscore b;1
50;Poulet à la crème et champignons;/recettes/recette_poulet-a-la-creme-et-champignons_72353.aspx;viande;;;;;;;;;;;6;60;très facile;bon marché;ecoscore d;1
51;Cuisse de dinde marinée au four;/recettes/recette_cuisse-de-dinde-au-four-corine04_225109.aspx;viande;;;;;;;;;;;3;60;facile;bon marché;ecoscore d;1
