id,titre,lien,note,nb_avis,img_url,category
1,Blanquette de veau facile au Cookeo,/recettes/recette_blanquette-de-veau-facile-au-cookeo_383136.aspx,5/5,"
            33 avis
        ",https://assets.afcdn.com/recipe/20191119/102673_w225h225c1cx2808cy1872cxt0cyt0cxb5616cyb3744.jpg,viande
2,Terrine de foie gras au Sauternes,/recettes/recette_terrine-de-foie-gras-au-sauternes_33977.aspx,5/5,"
            28 avis
        ",https://assets.afcdn.com/recipe/20161115/3404_w225h225c1cx2725cy2045.jpg,viande
3,Civet de Sanglier à la bourguignonne,/recettes/recette_civet-de-sanglier-a-la-bourguignonne_34042.aspx,5/5,"
            25 avis
        ",https://assets.afcdn.com/recipe/20170310/46627_w225h225c1cx2736cy1824.jpg,viande
4,"Poulet aux quatre C (citron, cumin, cannelle, coriandre)",/recettes/recette_poulet-aux-quatre-c-citron-cumin-cannelle-coriandre_51826.aspx,5/5,"
            18 avis
        ",https://assets.afcdn.com/recipe/20241223/156736_w225h225c1cx539cy542cxt0cyt0cxb1079cyb1084.jpg,viande
5,"Magrets de canard aux poires, sauce au cassis",/recettes/recette_magrets-de-canard-aux-poires-sauce-au-cassis_33506.aspx,5/5,"
            16 avis
        ",https://assets.afcdn.com/recipe/20100101/recipe_default_img_placeholder_w225h225c1.jpg,viande
6,Cuissot de chevreuil à la tomate,/recettes/recette_cuissot-de-chevreuil-a-la-tomate_55373.aspx,5/5,"
            15 avis
        ",https://assets.afcdn.com/recipe/20220305/129686_w225h225c1cx1077cy1077cxt0cyt0cxb2155cyb2155.jpeg,viande
7,Souris d’agneau confite au vin rouge,/recettes/recette_souris-d-agneau-confite-au-vin-rouge_533960.aspx,N/A,N/A,https://assets.afcdn.com/recipe/20100101/recipe_default_img_placeholder_w225h225c1.jpg,viande
8,Joue de bœuf braisée au cidre façon grand veneur,/recettes/recette_joue-de-boeuf-braisee-au-cidre-facon-grand-veneur_533959.aspx,N/A,N/A,https://assets.afcdn.com/recipe/20100101/recipe_default_img_placeholder_w225h225c1.jpg,viande
9,Pavé de chevreuil braisé,/recettes/recette_pave-de-chevreuil-braise_533957.aspx,N/A,N/A,https://assets.afcdn.com/recipe/20100101/recipe_default_img_placeholder_w225h225c1.jpg,viande
10,Kebab capucin à l'effiloché d'agneau,/recettes/recette_kebab-capucin-a-l-effiloche-d-agneau_533953.aspx,N/A,N/A,https://assets.afcdn.com/recipe/20100101/recipe_default_img_placeholder_w225h225c1.jpg,viande
