Ingrédient,"Energie, N x facteur Jones, avec fibres (kJ/100 g)","Protéines, N x 6.25 (g/100 g)",Lipides (g/100g),Glucides (g/100g),Sucres (g/100g),Fibres (g/100g),Sel chlorure de sodium (g/100 g),AG saturés (g/100g),Cholestérol (mg/100g)
Abadèche,,,,,,,,,
Abats,,"25,1","6,24","1,36","0,026","0,12",,"2,13",322
Abondance,1640,"26,6","31,6",traces,"< 0,2",0,,"20,1",106
Abricot,194,"0,81","< 0,5","9,01","6,7","1,7",,"< 0,01",0
Abricot au sirop,,"0,5","< 0,5","16,2","15,3","1,4",,,
Abricot sec,,"0,5","< 0,5","16,2","15,3","1,4",,,
Absinthe,1010,"2,88","0,5","59,1","34,3","8,3",,"0,19",0
Achatine,,,,,,,,,
Acide citrique,,,,,,,,,
Acide lactique,1310,20,"26,2",traces,0,0,,18,104
Acide tartrique,,"2,31","9,3","37,1","24,9","0,7",,"5,98","39,6"
Acidifiant,,,,,,,,,
Acoupa,,,,,,,,,
Adjwain,,,,,,,,,
After eight,,,,,,,,,
Agar-agar,,"4,36","0,3",,"2,97",,,"0,061",0
Agneau,1130,"16,3","22,6","0,92","0,063",0,,"10,1",
Agostura bitter,,"0,068","0,066","8,28","7,38","0,05",,0,0
Agrume confit,1270,"< 0,5","< 0,3","72,3","62,9","3,3",,0,0
Aiguillette de canard,1630,"10,1","36,1","7,07","2,05","0,45",,"13,7",
Aiguillette de dinde,3690,0,"99,8",0,0,0,,"29,4",102
Aiguillette de poulet,785,"24,8","9,52","0,7",0,0,,,133
Ail,1460,"16,7","0,77","62,8","2,43","9,45",,"0,2",0
Ail des ours,1460,"16,7","0,77","62,8","2,43","9,45",,"0,2",0
Ail en poudre,1460,"16,7","0,77","62,8","2,43","9,45",,"0,2",0
Ail semoule,1460,"16,7","0,77","62,8","2,43","9,45",,"0,2",0
Aile de poulet,785,"24,8","9,52","0,7",0,0,,,133
Aile de raie,415,"23,2","0,57",traces,0,0,,"0,12",67
Aileron de poulet,785,"24,8","9,52","0,7",0,0,,,133
Aillet,,,,,,,,,
Aïoli,,"1,13",41,"4,7","3,14","0,42",,,
Airelles,,,,,,,,,
Alcool,2730,0,0,0,0,0,,0,0
Alcool > 96°,2730,0,0,0,0,0,,0,0
Alcool à 40°,2730,0,0,0,0,0,,0,0
Alcool à 45°,2730,0,0,0,0,0,,0,0
Alcool à 60°,2730,0,0,0,0,0,,0,0
Alcool à 90°,2730,0,0,0,0,0,,0,0
Alcool à 95°,2730,0,0,0,0,0,,0,0
Alcool de genièvre,2730,0,0,0,0,0,,0,0
Alcool de poire,,"0,49","0,27","10,9","9,01","2,9",,"0,067",0
Alcool de riz,2730,0,0,0,0,0,,0,0
Alcool pour fruits,2730,0,0,0,0,0,,0,0
Alevin,,,,,,,,,
Alfafa,,,,,,,,,
Alginate de sodium,1480,0,"0,2","86,3",,"0,55",,"0,039",0
Algue dulse,949,"17,2","1,33","22,6",,28,,,
Algue japonaise,1060,"31,5","1,63","10,5",,"36,3",,,
Algue Kombu,905,"9,51","1,13","25,6",,"33,2",,"0,15",
Algue séchée,1060,"31,5","1,63","10,5",,"36,3",,,
Alkermes,,,,,,,,,
All-Bran®,1510,"11,5","4,42","59,3","22,1","18,3",,"1,91",0
Allumettes de bacon,500,"23,1","2,6","0,7","< 0,2",0,,"1,02","47,2"
Allumettes Fumées,753,"23,4","9,27","0,69",0,0,,"1,71","47,9"
Aloé vera,,,,,,,,,
Alose,,,,,,,,,
Alouette,,,,,,,,,
Amandes,,"22,6","51,3","9,51","4,2","12,5",,"4,11",0
Amandes effilées,,"22,6","51,3","9,51","4,2","12,5",,"4,11",0
Amandes en poudre,2420,"47,9",42,"3,11","0,3",0,,"13,1",1670
Amandes entières,,"22,6","51,3","9,51","4,2","12,5",,"4,11",0
Amarante,1540,"14,5","7,02","58,6","1,68","6,7",,"1,46",0
Amaretti,,,,,,,,,
Amaretto,,,,,,,,,
Amidon,1460,"0,63",0,85,,traces,,,
Ananas,231,"< 0,5","< 0,5","11,7","10,5","1,2",,"< 0,01",0
Anchoïade,,,,,,,,,
Anchois,541,"18,6","6,07",traces,0,0,,"1,64",124
Andouille,878,"18,4","15,1","0,3",,traces,,,
Andouillette,946,"18,8","16,3",1,"< 0,5","0,71",,"6,94",284
Aneth,202,"3,93","1,1","3,9","1,2","3,5",,"0,27",0
Aneth séchée,202,"3,93","1,1","3,9","1,2","3,5",,"0,27",0
Angélique,,,,,,,,,
Angostura,,,,,,,,,
Angostura bitters,,"0,068","0,066","8,28","7,38","0,05",,0,0
Anguille,963,"16,1","18,6",traces,0,0,,"3,89",120
Anis,,,,,,,,,
Anis en poudre,2420,"47,9",42,"3,11","0,3",0,,"13,1",1670
Anis étoilé,,,,,,,,,
Anisette,,,,,,,,,
Anti-pectine,,,,,,,,,
AOP Piment d'Espelette,,"1,87","0,32","7,7","5,3","1,65",,"0,031",0
Apéricube®,,,,,,,,,
Apérifruit,,,,,,,,,
Aperol,,,,,,,,,
Appenzeller,,,,,,,,,
Apremont,,,,,,,,,
Aquafaba,,,,,,,,,
Arachide,,"15,5",22,"9,54","2,47","8,8",,"3,06",0
Araignée de mer,782,"8,4",14,"6,5","1,2","1,3",,"3,4","37,3"
Araignée de porc,1440,16,25,"14,1",1,"0,5",,"9,5",
Arbouse,,,,,,,,,
Arêtes de daurade,512,"22,9","3,3",traces,0,0,,"0,75",67
Armagnac,945,0,0,1,0,0,,,0
Armoise,,,,,,,,,
Aromate,206,"3,58","0,8","4,15","1,99","5,64",,"0,2",0
Arôme,,"2,87","1,08","12,1","11,5","0,045",,"0,68",
Arôme amande amère,,"22,6","51,3","9,51","4,2","12,5",,"4,11",0
Arôme caramel,560,"4,35","3,6","20,6",18,traces,,"1,93",12
Arôme cerise,235,"0,81","< 0,3",13,10,"1,6",,"< 0,01",0
Arôme citron,170,"1,13","< 0,3","3,14","2,1","4,3",,"< 0,01",0
Arôme coco,1650,"6,22","2,82","83,2","29,7","3,19",,"1,5",0
Arôme de café,489,"2,87","3,69","17,8",14,"0,042",,"2,5",
Arôme de fraise,162,"0,63","< 0,5","6,03","5,6","3,8",,"< 0,01",0
Arôme de légumes,"22,7","0,34","0,16","0,65","0,19",0,,"0,14",0
Arôme de noisettes,"22,7","0,34","0,16","0,65","0,19",0,,"0,14",0
Arôme de pistache,,17,"56,9","7,16","4,9","11,6",,"4,75",0
Arôme de rhum (sans alcool),369,"4,46","4,19","8,05","8,05",0,,"2,59",59
Arôme fleur d'oranger,,"0,29","0,08","8,79","8,79","0,18",,"0,005",
Arôme naturel d'orange,471,"26,8","0,4",0,0,0,,"0,086",50
Arôme naturel de citron,,"0,25","0,23","1,24","1,24","0,45",,"0,026",0
Arôme vanille,,"0,1","0,33",99,"97,2","0,37",,"0,053",
Arôme violette,,"2,5","0,3","2,5",,"1,8",,"0,07",0
Arquebuse,,,,,,,,,
Arrow root,,,,,,,,,
Artichaut,,"3,2","0,18","4,92","0,99","5,4",,"0,036",0
Artichaut violet,,"3,2","0,18","4,92","0,99","5,4",,"0,036",0
Artichauts camus,,"3,2","0,18","4,92","0,99","5,4",,"0,036",0
Asafoetida,,,,,,,,,
Ashwagandha,,,,,,,,,
Aspartame,904,"6,35",0,"69,3","6,65","2,2",,0,
Asperge,,"2,46","0,27","2,03","1,5","2,15",,"0,069",0
Asperge blanche,"78,1","1,44","0,3","1,63","1,2","1,3",,"0,1",
Asperge verte,112,"2,69","0,3","1,73","1,3","2,2",,"0,07",
Aspérule,,,,,,,,,
Assaisonnement pour sushi,722,"6,69","3,7","26,9","4,93","0,9",,"0,6","13,1"
Asti spumante,,,,,,,,,
Atriau,,,,,,,,,
Attiéké,,,,,,,,,
Aubergine,,"1,12","0,14","2,39","2,39","2,7",,"0,034",0
Autres,,"6,1","27,6","60,5","21,6","2,06",,"14,4","11,7"
Autruche,666,"20,2","8,7",0,0,0,,,71
Avocat,843,"1,56","20,6","0,83","0,4","3,6",,"4,51","< 0,5"
Avoine,1570,"18,1","6,9","55,7","1,2","10,6",,"1,22",0
Baba,708,"2,83","3,86","23,6","18,2","0,87",,"2,77",
Babeurre,,,,,,,,,
Babybel,1260,"21,3","23,7",traces,traces,0,,"16,3",
Bacardi,,,,,,,,,
Bacon,500,"23,1","2,6","0,7","< 0,2",0,,"1,02","47,2"
Bagel,1140,"10,2","3,98","47,3","5,36","3,42",,"1,02",0
Baguette,1200,"9,06","1,4","58,3","2,3","2,7",,"0,45","0,075"
Baie d'amélanchier,,"0,64","0,5","11,4",,7,,"0,028",0
Baie d'églantier,,"0,64","0,5","11,4",,7,,"0,028",0
Baie de cardamome,1340,"10,8","6,7","40,5",,28,,,0
Baie de genévrier,,"0,64","0,5","11,4",,7,,"0,028",0
Baie de Sichuan,,"0,64","0,5","11,4",,7,,"0,028",0
Baie de sureau,,"0,64","0,5","11,4",,7,,"0,028",0
Baie moulu,1660,"14,4","15,4","40,2",,"19,8",,,0
Baie rouge,"60,7","0,94","< 0,5","1,53","1,1","1,4",,"< 0,01",0
Baies d'argousier,,"0,64","0,5","11,4",,7,,"0,028",0
Baies de goji,,"0,64","0,5","11,4",,7,,"0,028",0
